"ntacode","ntaname","fips_county","borough","borocode","county","state"
"BK09","Brooklyn Heights-Cobble Hill","36047","Brooklyn",3,"Kings County","New York"
"BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","36047","Brooklyn",3,"Kings County","New York"
"BK19","Brighton Beach","36047","Brooklyn",3,"Kings County","New York"
"BK21","Seagate-Coney Island","36047","Brooklyn",3,"Kings County","New York"
"BK23","West Brighton","36047","Brooklyn",3,"Kings County","New York"
"BK25","Homecrest","36047","Brooklyn",3,"Kings County","New York"
"BK26","Gravesend","36047","Brooklyn",3,"Kings County","New York"
"BK27","Bath Beach","36047","Brooklyn",3,"Kings County","New York"
"BK28","Bensonhurst West","36047","Brooklyn",3,"Kings County","New York"
"BK29","Bensonhurst East","36047","Brooklyn",3,"Kings County","New York"
"BK30","Dyker Heights","36047","Brooklyn",3,"Kings County","New York"
"BK31","Bay Ridge","36047","Brooklyn",3,"Kings County","New York"
"BK32","Sunset Park West","36047","Brooklyn",3,"Kings County","New York"
"BK33","Carroll Gardens-Columbia Street-Red Hook","36047","Brooklyn",3,"Kings County","New York"
"BK34","Sunset Park East","36047","Brooklyn",3,"Kings County","New York"
"BK35","Stuyvesant Heights","36047","Brooklyn",3,"Kings County","New York"
"BK37","Park Slope-Gowanus","36047","Brooklyn",3,"Kings County","New York"
"BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","36047","Brooklyn",3,"Kings County","New York"
"BK40","Windsor Terrace","36047","Brooklyn",3,"Kings County","New York"
"BK41","Kensington-Ocean Parkway","36047","Brooklyn",3,"Kings County","New York"
"BK42","Flatbush","36047","Brooklyn",3,"Kings County","New York"
"BK43","Midwood","36047","Brooklyn",3,"Kings County","New York"
"BK44","Madison","36047","Brooklyn",3,"Kings County","New York"
"BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","36047","Brooklyn",3,"Kings County","New York"
"BK46","Ocean Parkway South","36047","Brooklyn",3,"Kings County","New York"
"BK50","Canarsie","36047","Brooklyn",3,"Kings County","New York"
"BK58","Flatlands","36047","Brooklyn",3,"Kings County","New York"
"BK60","Prospect Lefferts Gardens-Wingate","36047","Brooklyn",3,"Kings County","New York"
"BK61","Crown Heights North","36047","Brooklyn",3,"Kings County","New York"
"BK63","Crown Heights South","36047","Brooklyn",3,"Kings County","New York"
"BK64","Prospect Heights","36047","Brooklyn",3,"Kings County","New York"
"BK68","Fort Greene","36047","Brooklyn",3,"Kings County","New York"
"BK69","Clinton Hill","36047","Brooklyn",3,"Kings County","New York"
"BK72","Williamsburg","36047","Brooklyn",3,"Kings County","New York"
"BK73","North Side-South Side","36047","Brooklyn",3,"Kings County","New York"
"BK75","Bedford","36047","Brooklyn",3,"Kings County","New York"
"BK76","Greenpoint","36047","Brooklyn",3,"Kings County","New York"
"BK77","Bushwick North","36047","Brooklyn",3,"Kings County","New York"
"BK78","Bushwick South","36047","Brooklyn",3,"Kings County","New York"
"BK79","Ocean Hill","36047","Brooklyn",3,"Kings County","New York"
"BK81","Brownsville","36047","Brooklyn",3,"Kings County","New York"
"BK82","East New York","36047","Brooklyn",3,"Kings County","New York"
"BK83","Cypress Hills-City Line","36047","Brooklyn",3,"Kings County","New York"
"BK85","East New York (Pennsylvania Ave)","36047","Brooklyn",3,"Kings County","New York"
"BK88","Borough Park","36047","Brooklyn",3,"Kings County","New York"
"BK90","East Williamsburg","36047","Brooklyn",3,"Kings County","New York"
"BK91","East Flatbush-Farragut","36047","Brooklyn",3,"Kings County","New York"
"BK93","Starrett City","36047","Brooklyn",3,"Kings County","New York"
"BK95","Erasmus","36047","Brooklyn",3,"Kings County","New York"
"BK96","Rugby-Remsen Village","36047","Brooklyn",3,"Kings County","New York"
"BK99","park-cemetery-etc-Brooklyn","36047","Brooklyn",3,"Kings County","New York"
"BX01","Claremont-Bathgate","36005","Bronx",2,"Bronx County","New York"
"BX03","Eastchester-Edenwald-Baychester","36005","Bronx",2,"Bronx County","New York"
"BX05","Bedford Park-Fordham North","36005","Bronx",2,"Bronx County","New York"
"BX06","Belmont","36005","Bronx",2,"Bronx County","New York"
"BX07","Bronxdale","36005","Bronx",2,"Bronx County","New York"
"BX08","West Farms-Bronx River","36005","Bronx",2,"Bronx County","New York"
"BX09","Soundview-Castle Hill-Clason Point-Harding Park","36005","Bronx",2,"Bronx County","New York"
"BX10","Pelham Bay-Country Club-City Island","36005","Bronx",2,"Bronx County","New York"
"BX13","Co-op City","36005","Bronx",2,"Bronx County","New York"
"BX14","East Concourse-Concourse Village","36005","Bronx",2,"Bronx County","New York"
"BX17","East Tremont","36005","Bronx",2,"Bronx County","New York"
"BX22","North Riverdale-Fieldston-Riverdale","36005","Bronx",2,"Bronx County","New York"
"BX26","Highbridge","36005","Bronx",2,"Bronx County","New York"
"BX27","Hunts Point","36005","Bronx",2,"Bronx County","New York"
"BX28","Van Cortlandt Village","36005","Bronx",2,"Bronx County","New York"
"BX29","Spuyten Duyvil-Kingsbridge","36005","Bronx",2,"Bronx County","New York"
"BX30","Kingsbridge Heights","36005","Bronx",2,"Bronx County","New York"
"BX31","Allerton-Pelham Gardens","36005","Bronx",2,"Bronx County","New York"
"BX33","Longwood","36005","Bronx",2,"Bronx County","New York"
"BX34","Melrose South-Mott Haven North","36005","Bronx",2,"Bronx County","New York"
"BX35","Morrisania-Melrose","36005","Bronx",2,"Bronx County","New York"
"BX36","University Heights-Morris Heights","36005","Bronx",2,"Bronx County","New York"
"BX37","Van Nest-Morris Park-Westchester Square","36005","Bronx",2,"Bronx County","New York"
"BX39","Mott Haven-Port Morris","36005","Bronx",2,"Bronx County","New York"
"BX40","Fordham South","36005","Bronx",2,"Bronx County","New York"
"BX41","Mount Hope","36005","Bronx",2,"Bronx County","New York"
"BX43","Norwood","36005","Bronx",2,"Bronx County","New York"
"BX44","Williamsbridge-Olinville","36005","Bronx",2,"Bronx County","New York"
"BX46","Parkchester","36005","Bronx",2,"Bronx County","New York"
"BX49","Pelham Parkway","36005","Bronx",2,"Bronx County","New York"
"BX52","Schuylerville-Throgs Neck-Edgewater Park","36005","Bronx",2,"Bronx County","New York"
"BX55","Soundview-Bruckner","36005","Bronx",2,"Bronx County","New York"
"BX59","Westchester-Unionport","36005","Bronx",2,"Bronx County","New York"
"BX62","Woodlawn-Wakefield","36005","Bronx",2,"Bronx County","New York"
"BX63","West Concourse","36005","Bronx",2,"Bronx County","New York"
"BX75","Crotona Park East","36005","Bronx",2,"Bronx County","New York"
"BX98","Rikers Island","36005","Bronx",2,"Bronx County","New York"
"BX99","park-cemetery-etc-Bronx","36005","Bronx",2,"Bronx County","New York"
"MN01","Marble Hill-Inwood","36061","Manhattan",1,"New York County","New York"
"MN03","Central Harlem North-Polo Grounds","36061","Manhattan",1,"New York County","New York"
"MN04","Hamilton Heights","36061","Manhattan",1,"New York County","New York"
"MN06","Manhattanville","36061","Manhattan",1,"New York County","New York"
"MN09","Morningside Heights","36061","Manhattan",1,"New York County","New York"
"MN11","Central Harlem South","36061","Manhattan",1,"New York County","New York"
"MN12","Upper West Side","36061","Manhattan",1,"New York County","New York"
"MN13","Hudson Yards-Chelsea-Flatiron-Union Square","36061","Manhattan",1,"New York County","New York"
"MN14","Lincoln Square","36061","Manhattan",1,"New York County","New York"
"MN15","Clinton","36061","Manhattan",1,"New York County","New York"
"MN17","Midtown-Midtown South","36061","Manhattan",1,"New York County","New York"
"MN19","Turtle Bay-East Midtown","36061","Manhattan",1,"New York County","New York"
"MN20","Murray Hill-Kips Bay","36061","Manhattan",1,"New York County","New York"
"MN21","Gramercy","36061","Manhattan",1,"New York County","New York"
"MN22","East Village","36061","Manhattan",1,"New York County","New York"
"MN23","West Village","36061","Manhattan",1,"New York County","New York"
"MN24","SoHo-TriBeCa-Civic Center-Little Italy","36061","Manhattan",1,"New York County","New York"
"MN25","Battery Park City-Lower Manhattan","36061","Manhattan",1,"New York County","New York"
"MN27","Chinatown","36061","Manhattan",1,"New York County","New York"
"MN28","Lower East Side","36061","Manhattan",1,"New York County","New York"
"MN31","Lenox Hill-Roosevelt Island","36061","Manhattan",1,"New York County","New York"
"MN32","Yorkville","36061","Manhattan",1,"New York County","New York"
"MN33","East Harlem South","36061","Manhattan",1,"New York County","New York"
"MN34","East Harlem North","36061","Manhattan",1,"New York County","New York"
"MN35","Washington Heights North","36061","Manhattan",1,"New York County","New York"
"MN36","Washington Heights South","36061","Manhattan",1,"New York County","New York"
"MN40","Upper East Side-Carnegie Hill","36061","Manhattan",1,"New York County","New York"
"MN50","Stuyvesant Town-Cooper Village","36061","Manhattan",1,"New York County","New York"
"MN99","park-cemetery-etc-Manhattan","36061","Manhattan",1,"New York County","New York"
"QN01","South Jamaica","36081","Queens",4,"Queens County","New York"
"QN02","Springfield Gardens North","36081","Queens",4,"Queens County","New York"
"QN03","Springfield Gardens South-Brookville","36081","Queens",4,"Queens County","New York"
"QN05","Rosedale","36081","Queens",4,"Queens County","New York"
"QN06","Jamaica Estates-Holliswood","36081","Queens",4,"Queens County","New York"
"QN07","Hollis","36081","Queens",4,"Queens County","New York"
"QN08","St. Albans","36081","Queens",4,"Queens County","New York"
"QN10","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","36081","Queens",4,"Queens County","New York"
"QN12","Hammels-Arverne-Edgemere","36081","Queens",4,"Queens County","New York"
"QN15","Far Rockaway-Bayswater","36081","Queens",4,"Queens County","New York"
"QN17","Forest Hills","36081","Queens",4,"Queens County","New York"
"QN18","Rego Park","36081","Queens",4,"Queens County","New York"
"QN19","Glendale","36081","Queens",4,"Queens County","New York"
"QN20","Ridgewood","36081","Queens",4,"Queens County","New York"
"QN21","Middle Village","36081","Queens",4,"Queens County","New York"
"QN22","Flushing","36081","Queens",4,"Queens County","New York"
"QN23","College Point","36081","Queens",4,"Queens County","New York"
"QN25","Corona","36081","Queens",4,"Queens County","New York"
"QN26","North Corona","36081","Queens",4,"Queens County","New York"
"QN27","East Elmhurst","36081","Queens",4,"Queens County","New York"
"QN28","Jackson Heights","36081","Queens",4,"Queens County","New York"
"QN29","Elmhurst","36081","Queens",4,"Queens County","New York"
"QN30","Maspeth","36081","Queens",4,"Queens County","New York"
"QN31","Hunters Point-Sunnyside-West Maspeth","36081","Queens",4,"Queens County","New York"
"QN33","Cambria Heights","36081","Queens",4,"Queens County","New York"
"QN34","Queens Village","36081","Queens",4,"Queens County","New York"
"QN35","Briarwood-Jamaica Hills","36081","Queens",4,"Queens County","New York"
"QN37","Kew Gardens Hills","36081","Queens",4,"Queens County","New York"
"QN38","Pomonok-Flushing Heights-Hillcrest","36081","Queens",4,"Queens County","New York"
"QN41","Fresh Meadows-Utopia","36081","Queens",4,"Queens County","New York"
"QN42","Oakland Gardens","36081","Queens",4,"Queens County","New York"
"QN43","Bellerose","36081","Queens",4,"Queens County","New York"
"QN44","Glen Oaks-Floral Park-New Hyde Park","36081","Queens",4,"Queens County","New York"
"QN45","Douglas Manor-Douglaston-Little Neck","36081","Queens",4,"Queens County","New York"
"QN46","Bayside-Bayside Hills","36081","Queens",4,"Queens County","New York"
"QN47","Ft. Totten-Bay Terrace-Clearview","36081","Queens",4,"Queens County","New York"
"QN48","Auburndale","36081","Queens",4,"Queens County","New York"
"QN49","Whitestone","36081","Queens",4,"Queens County","New York"
"QN50","Elmhurst-Maspeth","36081","Queens",4,"Queens County","New York"
"QN51","Murray Hill","36081","Queens",4,"Queens County","New York"
"QN52","East Flushing","36081","Queens",4,"Queens County","New York"
"QN53","Woodhaven","36081","Queens",4,"Queens County","New York"
"QN54","Richmond Hill","36081","Queens",4,"Queens County","New York"
"QN55","South Ozone Park","36081","Queens",4,"Queens County","New York"
"QN56","Ozone Park","36081","Queens",4,"Queens County","New York"
"QN57","Lindenwood-Howard Beach","36081","Queens",4,"Queens County","New York"
"QN60","Kew Gardens","36081","Queens",4,"Queens County","New York"
"QN61","Jamaica","36081","Queens",4,"Queens County","New York"
"QN62","Queensboro Hill","36081","Queens",4,"Queens County","New York"
"QN63","Woodside","36081","Queens",4,"Queens County","New York"
"QN66","Laurelton","36081","Queens",4,"Queens County","New York"
"QN68","Queensbridge-Ravenswood-Long Island City","36081","Queens",4,"Queens County","New York"
"QN70","Astoria","36081","Queens",4,"Queens County","New York"
"QN71","Old Astoria","36081","Queens",4,"Queens County","New York"
"QN72","Steinway","36081","Queens",4,"Queens County","New York"
"QN76","Baisley Park","36081","Queens",4,"Queens County","New York"
"QN98","Airport","36081","Queens",4,"Queens County","New York"
"QN99","park-cemetery-etc-Queens","36081","Queens",4,"Queens County","New York"
"SI01","Annadale-Huguenot-Prince's Bay-Eltingville","36085","Staten Island",5,"Richmond County","New York"
"SI05","New Springville-Bloomfield-Travis","36085","Staten Island",5,"Richmond County","New York"
"SI07","Westerleigh","36085","Staten Island",5,"Richmond County","New York"
"SI08","Grymes Hill-Clifton-Fox Hills","36085","Staten Island",5,"Richmond County","New York"
"SI11","Charleston-Richmond Valley-Tottenville","36085","Staten Island",5,"Richmond County","New York"
"SI12","Mariner's Harbor-Arlington-Port Ivory-Graniteville","36085","Staten Island",5,"Richmond County","New York"
"SI14","Grasmere-Arrochar-Ft. Wadsworth","36085","Staten Island",5,"Richmond County","New York"
"SI22","West New Brighton-New Brighton-St. George","36085","Staten Island",5,"Richmond County","New York"
"SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","36085","Staten Island",5,"Richmond County","New York"
"SI25","Oakwood-Oakwood Beach","36085","Staten Island",5,"Richmond County","New York"
"SI28","Port Richmond","36085","Staten Island",5,"Richmond County","New York"
"SI32","Rossville-Woodrow","36085","Staten Island",5,"Richmond County","New York"
"SI35","New Brighton-Silver Lake","36085","Staten Island",5,"Richmond County","New York"
"SI36","Old Town-Dongan Hills-South Beach","36085","Staten Island",5,"Richmond County","New York"
"SI37","Stapleton-Rosebank","36085","Staten Island",5,"Richmond County","New York"
"SI45","New Dorp-Midland Beach","36085","Staten Island",5,"Richmond County","New York"
"SI48","Arden Heights","36085","Staten Island",5,"Richmond County","New York"
"SI54","Great Kills","36085","Staten Island",5,"Richmond County","New York"
"SI99","park-cemetery-etc-Staten Island","36085","Staten Island",5,"Richmond County","New York"
